dx,dy,dt,d,targetX,targetY
7,5,18,1045.7863070436522,997,342
11,4,14,1042.324325725923,997,342
13,5,18,1040.108167451828,997,342
7,2,18,1046.7568963231147,997,342
7,3,16,1046.4325109628428,997,342
3,1,18,1050.8648818949084,997,342
2,0,16,1052.1354475541634,997,342
1,1,13,1052.7568570187516,997,342
0,0,18,1054.0270395013592,997,342
1,0,20,1053.0811934509134,997,342
0,0,15,1054.0270395013592,997,342
1,-1,17,1053.406379323763,997,342
0,0,15,1054.0270395013592,997,342
1,-1,17,1053.406379323763,997,342
0,0,19,1054.0270395013592,997,342
0,0,16,1054.0270395013592,997,342
1,0,49,1053.0811934509134,997,342
-1,0,183,855.6003740064634,603,606
-5,1,18,857.7231488073527,603,606
-9,4,17,858.4567548805239,603,606
-14,7,16,859.9360441335158,603,606
-18,10,17,860.7305037002,603,606
-20,11,15,861.4836040227348,603,606
-18,11,18,860.0383712370048,603,606
-18,10,17,860.7305037002,603,606
-17,11,15,859.3165889240123,603,606
-17,10,18,860.0093022752719,603,606
-20,13,17,860.1034821461892,603,606
-32,20,17,864.0723349349868,603,606
-14,9,16,858.5441165135313,603,606
-39,27,18,864.5258816252987,603,606
-28,22,15,859.7772967460818,603,606
-23,22,17,856.1144783263509,603,606
-20,22,17,853.9232986632933,603,606
-11,12,17,854.3020543110031,603,606
-11,12,16,854.3020543110031,603,606
-5,6,16,854.2037227734377,603,606
-4,5,17,854.1955279676896,603,606
-3,2,14,855.6003740064634,603,606
-1,1,20,854.8923908890522,603,606
-2,1,16,855.5992052357225,603,606
-3,1,18,856.3066039684618,603,606
-4,1,14,857.0145856401745,603,606
-4,1,16,857.0145856401745,603,606
-5,1,17,857.7231488073527,603,606
-7,2,19,858.4381165815041,603,606
-3,2,17,855.6003740064634,603,606
-4,3,16,855.6038803091066,603,606
-4,2,17,856.3089395773,603,606
-3,1,17,856.3066039684618,603,606
-3,0,16,857.0134187980956,603,606
-2,1,14,855.5992052357225,603,606
-2,0,21,856.3066039684618,603,606
0,0,14,854.8947303615809,603,606
0,0,18,854.8947303615809,603,606
0,0,286,818.379496321847,593,564
0,-2,12,819.759110958823,593,564
-1,-5,18,822.5551653232749,593,564
-3,-12,15,828.8498054533161,593,564
-3,-13,19,829.5450560397549,593,564
-3,-8,13,826.0750571225353,593,564
-2,-10,21,826.7411928771905,593,564
-1,-2,16,820.4827847066629,593,564
0,-1,14,819.0689836637694,593,564
0,0,20,818.379496321847,593,564
0,0,87,818.379496321847,593,564
0,0,9,818.379496321847,593,564
0,1,20,817.6906505519064,593,564
0,0,16,818.379496321847,593,564
0,1,17,817.6906505519064,593,564
1,2,17,816.2769137982526,593,564
0,1,15,817.6906505519064,593,564
0,1,16,817.6906505519064,593,564
0,1,18,817.6906505519064,593,564
1,2,18,816.2769137982526,593,564
1,1,17,816.9657275553241,593,564
0,1,14,817.6906505519064,593,564
0,0,16,818.379496321847,593,564
0,0,283,189.52836199366047,161,100
9,-8,19,186.46179233290664,161,100
17,-15,18,184.28510520386612,161,100
14,-13,13,185.41305239923105,161,100
8,-9,20,187.85632808079689,161,100
9,-13,16,189.40168953839878,161,100
-2,-19,16,201.81674856165927,161,100
-45,-37,15,247.39644298170498,161,100
-79,-50,19,283.0194339616981,161,100
-149,-91,15,364.1167395218188,161,100
-150,-109,19,374.7025486969631,161,100
-63,-58,17,274.11676344215067,161,100
-42,-44,16,248.8875247978492,161,100
-23,-29,17,224.71537553091466,161,100
-10,-14,16,205.5164227014474,161,100
-8,-11,16,202.19297712828703,161,100
-2,-4,18,193.35201059208046,161,100
0,-1,16,190.057885919001,161,100
1,1,48,188.1515346735179,161,100
3,2,19,185.9247159470736,161,100
6,5,14,181.79658962697843,161,100
12,8,17,175.1142484208524,161,100
9,5,19,179.24564150907548,161,100
14,8,15,173.4156855650607,161,100
19,12,19,167.05687654209268,161,100
9,7,16,178.1937148162078,161,100
2,1,14,187.3018953454556,161,100
6,6,19,181.27603261324978,161,100
1,3,17,187.1069213043708,161,100
1,1,17,188.1515346735179,161,100
1,1,16,188.1515346735179,161,100
0,0,17,189.52836199366047,161,100
0,1,15,189.0026454841307,161,100
0,0,17,189.52836199366047,161,100
0,0,272,1039.1862200779992,1032,122
4,0,12,1035.2139875407404,1032,122
11,1,16,1028.1449314177453,1032,122
26,2,17,1013.1317782006446,1032,122
128,4,18,911.6687995099975,1032,122
54,0,13,985.5800322652645,1032,122
186,1,21,854.6092674433153,1032,122
132,7,15,907.31747475732,1032,122
126,11,17,912.7743423212552,1032,122
80,8,17,958.8013350011565,1032,122
59,7,16,979.7724225553605,1032,122
33,3,17,1006.0626223053911,1032,122
16,2,16,1023.0620704532057,1032,122
11,1,15,1028.1449314177453,1032,122
3,1,20,1036.089764450938,1032,122
1,0,14,1038.1931419538466,1032,122
0,0,29,1039.1862200779992,1032,122
-1,0,8,1040.1793114650955,1032,122
-1,0,15,1040.1793114650955,1032,122
-3,-2,15,1042.4015541047509,1032,122
-4,-5,16,1043.7552395078071,1032,122
-3,-7,17,1043.0081495367137,1032,122
-4,-8,16,1044.124513647678,1032,122
-3,-4,18,1042.6413573228333,1032,122
-3,-6,18,1042.884940921097,1032,122
-1,-1,16,1040.2970729556052,1032,122
0,-1,15,1039.3040940937353,1032,122
0,0,72,1039.1862200779992,1032,122
1,1,10,1038.0761051098325,1032,122
3,1,17,1036.089764450938,1032,122
3,1,21,1036.089764450938,1032,122
5,2,16,1033.9869438247274,1032,122
5,1,16,1034.1034764471108,1032,122
4,1,16,1035.0966138481954,1032,122
2,1,17,1037.082928217411,1032,122
1,0,17,1038.1931419538466,1032,122
0,1,234,500.92813855881565,273,421
-2,2,14,501.1845967305859,273,421
-11,11,20,498.7544486017142,273,421
-27,24,15,497.6032556163595,273,421
-29,24,15,498.8115876761485,273,421
-56,41,16,502.63406171886123,273,421
-130,92,17,520.2403290787826,273,421
-122,75,18,525.1104645691229,273,421
-130,70,16,534.4249245684562,273,421
-83,37,18,523.6334595879068,273,421
-95,32,14,535.4857607817411,273,421
-52,9,19,524.7561338374236,273,421
-54,3,16,530.7099019238289,273,421
-25,0,16,515.7955021129983,273,421
-14,-2,19,511.1731604847813,273,421
-10,-3,14,509.7695557798641,273,421
-4,-2,17,505.62634425037623,273,421
-1,-2,17,503.9890871834429,273,421
0,-1,17,502.6062076815208,273,421
0,-2,15,503.44612422780654,273,421
0,-5,18,505.9693666616587,273,421
2,-9,19,508.27256467371916,273,421
6,-13,16,509.5537263135262,273,421
8,-14,16,509.36234646860186,273,421
9,-17,18,511.40981609664084,273,421
8,-14,15,509.36234646860186,273,421
11,-14,15,507.80803459575156,273,421
10,-11,20,505.75982442262057,273,421
8,-7,17,503.3974572840034,273,421
6,-4,15,501.9103505607351,273,421
6,-2,16,500.2179524967092,273,421
5,-2,19,500.75243384331145,273,421
1,0,14,501.22350304031033,273,421
2,0,19,500.6815355093495,273,421
1,0,16,501.22350304031033,273,421
1,0,17,501.22350304031033,273,421
0,1,16,500.92813855881565,273,421
1,0,16,501.22350304031033,273,421
1,1,17,500.3838526571376,273,421
0,0,15,501.7668781416326,273,421
1,0,331,1190.5179545055169,1039,583
4,-2,7,1188.8860332260615,1039,583
11,-4,16,1183.7875654018335,1039,583
60,-16,12,1147.7116362571219,1039,583
137,-5,21,1076.7302354814785,1039,583
54,10,15,1139.5411357208654,1039,583
183,69,17,998.4648216136611,1039,583
86,39,16,1097.3354090705357,1039,583
86,37,17,1098.3282751527431,1039,583
12,4,15,1178.9698893525654,1039,583
33,11,19,1157.2467325510147,1039,583
17,3,16,1175.1102075975682,1039,583
9,1,17,1183.05705695034,1039,583
3,0,16,1188.774579136011,1039,583
1,0,158,1190.5179545055169,1039,583
7,0,8,1185.2902598098071,1039,583
12,2,19,1179.953388909918,1039,583
14,2,14,1178.2130537385842,1039,583
10,2,19,1181.6945459804747,1039,583
11,3,13,1180.3321566406637,1039,583
9,2,20,1182.5654315935335,1039,583
4,1,17,1187.4127336356132,1039,583
1,1,13,1190.0285710855853,1039,583
1,0,17,1190.5179545055169,1039,583
0,1,17,1190.9009194723128,1039,583
0,0,19,1191.389944560554,1039,583
0,0,17,1191.389944560554,1039,583
0,1,13,1190.9009194723128,1039,583
0,0,29,1191.389944560554,1039,583
0,0,40,1191.389944560554,1039,583
-1,0,259,622.6756780218736,562,266
-1,0,7,622.6756780218736,562,266
-5,-2,18,627.1467132976143,562,266
-8,-6,17,631.5726403193856,562,266
-24,-16,16,650.3229966716539,562,266
-40,-28,18,669.9552223843024,562,266
-73,-53,14,710.6236697436977,562,266
-43,-32,20,674.4101126169447,562,266
-63,-44,14,697.656792413003,562,266
-56,-37,17,688.2826454299135,562,266
-36,-23,18,664.1724173736817,562,266
-36,-23,14,664.1724173736817,562,266
-28,-19,20,655.2289676136121,562,266
-12,-10,15,636.9081566442685,562,266
-10,-12,17,635.9779870404321,562,266
-7,-9,17,631.9699359937939,562,266
-1,-3,14,623.9631399369678,562,266
-3,-6,20,627.0637926080567,562,266
0,-1,13,622.2001285760073,562,266
-3,-3,20,625.7683277379896,562,266
-2,-1,16,624.0072114967903,562,266
-3,-1,15,624.9111936907516,562,266
-3,-1,16,624.9111936907516,562,266
-4,0,19,625.389478645108,562,266
-3,0,18,624.4845874799473,562,266
-3,0,14,624.4845874799473,562,266
-2,0,19,623.5799868501233,562,266
-1,1,15,622.2491462428856,562,266
-1,3,17,621.400032185387,562,266
-2,3,17,622.3061947305362,562,266
-1,2,15,621.8239300638083,562,266
-1,3,18,621.400032185387,562,266
0,0,15,621.7716622683926,562,266
-1,1,18,622.2491462428856,562,266
0,0,17,621.7716622683926,562,266
1,0,322,762.6899763337657,761,64
6,-2,11,757.8792779856169,761,64
24,-15,18,741.2219640566515,761,64
43,-27,16,723.7437391784471,761,64
48,-35,17,719.8402600577436,761,64
27,-24,16,739.2563831310488,761,64
27,-28,16,739.7431986845164,761,64
17,-27,19,749.5445283637257,761,64
3,-8,15,761.4118465062124,761,64
3,-14,17,762.0026246673957,761,64
1,-7,17,763.3092427057333,761,64
0,-3,15,763.9437152042027,761,64
0,-4,16,764.0320673898445,761,64
-1,-4,20,765.0281040589293,761,64
0,-1,15,763.7709080607875,761,64
0,-1,16,763.7709080607875,761,64
0,0,18,763.6864539848798,761,64
0,0,16,763.6864539848798,761,64
0,-1,17,763.7709080607875,761,64
0,0,14,763.6864539848798,761,64
0,0,20,763.6864539848798,761,64
0,-1,17,763.7709080607875,761,64
0,0,13,763.6864539848798,761,64
0,1,223,146.4547711752676,100,108
0,1,11,146.4547711752676,100,108
-5,9,16,144.31216164966833,100,108
-8,14,20,143.17821063276352,100,108
-13,19,16,143.8401890988746,100,108
-17,33,17,138.97481786280562,100,108
-8,17,16,141.2267680009707,100,108
-5,10,15,143.62799170078233,100,108
-5,15,17,140.2640367307315,100,108
-6,15,19,141.01418368376991,100,108
-6,8,14,145.72576985557495,100,108
-10,5,20,150.6950563223625,100,108
-15,1,15,157.07959765672945,100,108
-35,0,15,172.8843544106869,100,108
-63,-13,19,203.00246303924493,100,108
-74,-21,16,216.60332407421637,100,108
-92,-26,17,234.13671220037236,100,108
-64,-14,15,204.40156555173445,100,108
-72,-13,17,210.2974084481309,100,108
-40,-5,18,179.91386828146406,100,108
-58,-4,17,193.66982212001952,100,108
-17,-1,17,159.90622251807463,100,108
-10,0,15,154.1557653803451,100,108
-21,-2,17,163.52675622050356,100,108
-6,-1,17,152.04275714416653,100,108
-6,-1,16,152.04275714416653,100,108
-4,-1,18,150.65523555456014,100,108
-1,-1,16,148.60013458944107,100,108
0,0,16,147.18695594379278,100,108
0,-1,21,147.92227688891217,100,108
0,0,25,147.18695594379278,100,108
0,0,37,147.18695594379278,100,108
0,0,190,1114.4792505919525,1000,492
3,0,10,1111.7881992537966,1000,492
10,0,19,1105.5152644807758,1000,492
14,0,14,1101.934662309885,1000,492
21,3,17,1094.3317595683677,1000,492
24,6,17,1090.3082133048435,1000,492
32,11,15,1080.9185908291151,1000,492
43,19,20,1067.5101873050205,1000,492
33,17,14,1077.3643766154512,1000,492
34,25,16,1072.9608566951545,1000,492
33,28,17,1072.5600216304913,1000,492
58,41,19,1044.3969551851442,1000,492
44,25,17,1063.9666348152089,1000,492
52,26,15,1056.3427474072987,1000,492
64,31,19,1043.3681037869617,1000,492
101,46,16,1003.5521909696575,1000,492
62,31,16,1045.1626667653222,1000,492
75,37,18,1030.849164524083,1000,492
65,34,13,1041.1479241683192,1000,492
35,20,16,1074.2481091442517,1000,492
25,12,21,1086.7497412007974,1000,492
16,8,13,1096.5910814884462,1000,492
11,6,20,1101.9605256087896,1000,492
4,2,16,1110.0072071838092,1000,492
2,1,14,1112.2432287948532,1000,492
2,0,19,1112.6850407909687,1000,492
2,0,17,1112.6850407909687,1000,492
2,-3,17,1114.0148113916619,1000,492
5,-4,15,1111.7738079303722,1000,492
6,-6,18,1111.7733581985135,1000,492
7,-6,16,1110.8793813911573,1000,492
5,-3,18,1111.3280343804884,1000,492
5,-4,13,1111.7738079303722,1000,492
3,-4,19,1113.5640978408023,1000,492
2,-4,18,1114.4595102559806,1000,492
0,-4,16,1116.2508678608049,1000,492
0,-3,18,1115.8068829327053,1000,492
0,-3,13,1115.8068829327053,1000,492
0,-1,21,1114.92107343973,1000,492
0,0,12,1114.4792505919525,1000,492
-1,0,352,318.9435686763412,125,293
-7,-3,15,324.09875038327436,125,293
-20,-7,18,333.2041416309227,125,293
-29,-10,18,339.8896879871468,125,293
-47,-12,17,350.15567966263234,125,293
-65,-18,14,364.44615514503647,125,293
-100,-27,20,391.184099881373,125,293
-94,-23,16,384.4697647410001,125,293
-98,-26,14,389.21716303369766,125,293
-64,-16,16,362.2181663031273,125,293
-81,-23,17,377.2161184254989,125,293
-67,-18,17,365.4928179868929,125,293
-67,-15,20,362.9435217771492,125,293
-21,-5,13,331.84333653096,125,293
-46,-11,19,348.7936352630306,125,293
-24,-6,17,334.0688551780905,125,293
-16,-5,15,329.67408148048276,125,293
-8,-2,18,323.5954264200902,125,293
-7,-2,14,323.1857051294194,125,293
-4,-2,17,321.97204847626136,125,293
-2,0,20,319.3399442600315,125,293
-2,-1,15,320.2577087284551,125,293
0,0,16,318.54983911469805,125,293
-1,0,18,318.9435686763412,125,293
0,1,18,317.63028822831114,125,293
0,1,14,317.63028822831114,125,293
0,3,16,315.79265349276255,125,293
-1,3,18,316.1898164078027,125,293
-1,8,18,311.61033358988595,125,293
0,2,14,316.7112249352713,125,293
-1,4,17,315.27289766169247,125,293
-1,5,20,314.3564855383137,125,293
0,3,14,315.79265349276255,125,293
0,1,16,317.63028822831114,125,293
0,1,17,317.63028822831114,125,293
0,0,19,318.54983911469805,125,293
0,1,16,317.63028822831114,125,293
0,0,222,1022.1707293793928,887,508
0,0,10,1022.1707293793928,887,508
4,0,19,1018.7016246183177,887,508
4,-1,14,1019.2006671897345,887,508
7,-1,19,1016.6026755817634,887,508
14,-1,13,1010.5493555487529,887,508
23,-2,19,1003.2925794602489,887,508
48,0,17,980.8083400950463,887,508
78,0,17,955.272212513271,887,508
81,1,16,952.2000840159593,887,508
97,17,14,930.1510629999839,887,508
156,45,21,865.291858276732,887,508
51,17,14,969.5241100663768,887,508
106,44,16,908.4365690569705,887,508
40,22,19,976.527009355092,887,508
28,15,16,990.4191032083337,887,508
23,14,15,995.254741259744,887,508
7,4,20,1014.108475460096,887,508
6,4,12,1014.9763544043773,887,508
2,2,17,1019.4415137711433,887,508
0,0,18,1022.1707293793928,887,508
1,1,18,1020.8060540572827,887,508
0,0,15,1022.1707293793928,887,508
0,0,36,1022.1707293793928,887,508
0,1,15,1021.6741163404307,887,508
1,1,19,1020.8060540572827,887,508
0,2,13,1021.1782410529515,887,508
1,6,19,1018.3319694480774,887,508
0,1,15,1021.6741163404307,887,508
0,9,19,1017.7278614639574,887,508
-2,3,16,1022.4216351388501,887,508
-2,3,16,1022.4216351388501,887,508
-3,2,18,1023.7851337072638,887,508
-3,3,16,1023.2912586355851,887,508
-3,1,17,1024.2797469441637,887,508
-1,0,16,1023.0386111970555,887,508
-2,1,14,1023.4109633964256,887,508
0,1,21,1021.6741163404307,887,508
0,0,15,1022.1707293793928,887,508
-1,0,277,1028.9849367216218,990,277
0,0,7,1028.0218869265382,990,277
-1,0,14,1028.9849367216218,990,277
-1,-2,16,1029.5251332531907,990,277
-2,-9,18,1032.4049593061823,990,277
0,-30,19,1036.5080800456888,990,277
9,-26,14,1026.7278120319913,990,277
13,-24,19,1022.315998114086,990,277
16,-22,16,1018.8606381640229,990,277
13,-13,16,1019.1314929880245,990,277
14,-13,15,1018.1728733373326,990,277
12,-12,16,1019.8063541672998,990,277
8,-8,21,1022.5209044317871,990,277
5,-6,15,1024.848281454382,990,277
4,-7,17,1026.0857663957727,990,277
2,-4,17,1027.1830411372648,990,277
2,-4,16,1027.1830411372648,990,277
1,-2,16,1027.6001167769493,990,277
0,-2,19,1028.5625892477326,990,277
1,-1,15,1027.329061206778,990,277
0,0,16,1028.0218869265382,990,277
0,-1,16,1028.2917873833283,990,277
1,-2,19,1027.6001167769493,990,277
0,-2,16,1028.5625892477326,990,277
2,-4,17,1027.1830411372648,990,277
1,-4,16,1028.1449314177453,990,277
1,-4,15,1028.1449314177453,990,277
1,-4,18,1028.1449314177453,990,277
1,-5,18,1028.4186890561646,990,277
1,-4,14,1028.1449314177453,990,277
1,-4,21,1028.1449314177453,990,277
0,-3,14,1028.8342918079666,990,277
0,-2,17,1028.5625892477326,990,277
0,-3,17,1028.8342918079666,990,277
0,-1,17,1028.2917873833283,990,277
0,0,15,1028.0218869265382,990,277
0,-2,18,1028.5625892477326,990,277
-1,-1,17,1029.2545846388055,990,277
0,0,14,1028.0218869265382,990,277
0,-1,348,1260.1448329458008,1253,133
2,-3,7,1258.370772069981,1253,133
3,-4,15,1257.4851887795737,1253,133
21,-20,16,1241.464055057576,1253,133
30,-21,15,1232.6576978220678,1253,133
37,-19,18,1225.4631777413795,1253,133
44,-20,14,1218.642687583198,1253,133
48,-19,21,1214.5488874475166,1253,133
16,-7,13,1244.8971845096285,1253,133
20,-8,15,1241.0358576608494,1253,133
21,-10,22,1240.2713412798023,1253,133
9,-4,13,1251.5210745329061,1253,133
5,-4,17,1255.497112700782,1253,133
3,-1,18,1257.161882972913,1253,133
2,-2,16,1258.2630885470653,1253,133
1,0,18,1259.0444789601358,1253,133
0,-1,14,1260.1448329458008,1253,133
0,0,16,1260.0388882887703,1253,133
1,0,21,1259.0444789601358,1253,133
-1,0,301,819.5706192879293,535,620
-1,0,12,819.5706192879293,535,620
-3,0,18,820.880015593022,535,620
-9,0,18,824.8248298881406,535,620
-13,3,17,825.2230001641981,535,620
-18,3,16,828.5517485347551,535,620
-10,2,13,823.9836163419756,535,620
-36,8,21,837.00955789047,535,620
-46,11,14,841.6899666741906,535,620
-43,11,19,839.621938731951,535,620
-51,18,15,840.1190391843289,535,620
-58,25,18,840.0440464642315,535,620
